Report start year,100,Report stop year,299,(inclusive)
Government,Sink,StopC2,Market,BET,ASP,Reward,Ratio,Run,Expenditure,Income,Subsidy,Subsidy.Proportion,Bankruptcies,Land.Use.Change,Occupancy.LU.1,Occupancy.LU.2,Occupancy.LU.3,Occupancy.LU.4,Occupancy.LU.5,Occupancy.LU.6,Extinction.SPP.1,Extinction.SPP.2,Extinction.SPP.3,Extinction.SPP.4,Extinction.SPP.5,Extinction.SPP.6,Extinction.SPP.7,Extinction.SPP.8,Extinction.SPP.9,Extinction.SPP.10,Occupancy.SPP.1,Occupancy.SPP.2,Occupancy.SPP.3,Occupancy.SPP.4,Occupancy.SPP.5,Occupancy.SPP.6,Occupancy.SPP.7,Occupancy.SPP.8,Occupancy.SPP.9,Occupancy.SPP.10,Shannon,Equitability,Richness
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,19,958000,58.7153603245192,23.0288461538462,0.422124253314674,0,0,111,93,24,386,4,7,17,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.21952,0.26384,0.92848,0.8192,0.61632,0.76912,0.76576,0.08496,1.22797020884832,8.60583294765756e-07,8
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,20,972000,60.7833663144963,23.8820638820639,0.421963865609769,0,0,97,117,23,369,9,10,NA,18,19,NA,NA,NA,NA,NA,NA,NA,0.32192,0,0,0.28624,0.92,0.77344,0.59984,0.7872,0.77632,0.0584,1.22561077691529,8.65049039873957e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,1,1155725,62.7625031850962,27.7818509615385,0.4684719691355,0,4.84848484848485e-05,139,58.4343434343434,14.1313131313131,403.868686868687,1,8.56565656565657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1832,0.16832,0.12,0.24416,0.94848,0.8832,0.64144,0.7384,0.73728,0.1592,1.34562095337258,0.278456062186327,10
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,2,1155000,61.2044136971831,27.112676056338,0.472567434164472,0,0,133,44,14,418,5,11,11,10,11,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.17776,0.93952,0.888,0.67328,0.74288,0.73712,0.14656,1.13756855672769,5.69800000606952e-07,7
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,3,1150000,61.4864291547619,27.3809523809524,0.473282005329787,0,0,149,38,4,422,8,4,NA,37,18,NA,NA,NA,NA,NA,NA,NA,0.01776,0,0,0.2176,0.9608,0.91776,0.6736,0.74576,0.73392,0.19104,1.20130594674006,8.34722434221835e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,4,1100000,65.2910238491049,28.1329923273657,0.460307671109831,0,0,161,65,4,375,10,10,35,16,11,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.31328,0.9464,0.87552,0.61088,0.71664,0.70128,0.2176,1.1750971719294,5.69800130163343e-07,7
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,5,1172500,65.1062941542289,29.1666666666667,0.470676240281819,0,0,150,77,1,392,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17792,0.17072,0.1016,0.31504,0.97664,0.88528,0.61568,0.752,0.74848,0.1944,1.37891587100892,0.286930667281865,10
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,6,1169325,61.4340150117647,27.5135294117647,0.47250478966569,0,4.84848484848485e-05,143,54,6.24242424242424,413.757575757576,3,5,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0.15744,0,0.02848,0.24112,0.96768,0.9064,0.65488,0.74912,0.74608,0.17136,1.25736804160669,1.65561747951811e-06,9
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,7,1172500,63.5746252663439,28.3898305084746,0.473276332905444,0,0,135,60,9,409,1,11,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0.17328,0.16016,0,0.2248,0.95392,0.88336,0.65536,0.74864,0.74832,0.15872,1.29320906632497,1.67503408396686e-06,9
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,8,1130000,62.5999520509709,27.4271844660194,0.466964371172302,0,0,145,42,11,410,4,13,14,11,11,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.23376,0.94288,0.89648,0.66464,0.72624,0.72224,0.19392,1.15574540747521,5.64971252475142e-07,7
